"x","mean","sd","name"
"85",85.6807821134521,5.47223932003826,0.69,"PAGDL2008"
"86",86.6751392131085,5.45153511894218,0.69,"PAGDL2008"
"87",87.6696502507548,5.43097006762753,0.69,"PAGDL2008"
"88",88.6643100464142,5.41054100697294,0.69,"PAGDL2008"
"89",89.6591136492142,5.39024488402124,0.69,"PAGDL2008"
"90",90.6540563248981,5.37007874728449,0.69,"PAGDL2008"
"91",91.6491335441418,5.35003974230522,0.69,"PAGDL2008"
"92",92.6443409716165,5.33012510745719,0.69,"PAGDL2008"
"93",93.6396744557422,5.31033216997058,0.69,"PAGDL2008"
"94",94.6351300190827,5.29065834216721,0.69,"PAGDL2008"
"95",95.630703849334,5.27110111789272,0.69,"PAGDL2008"
"96",96.6263922908665,5.25165806913352,0.69,"PAGDL2008"
